symbol_id,name,filename,Frequenz_0_4,Handlung,Eigenschaften,Ort,Anzahl_Kategorien
1,Ball,sym_01.png,4,"Spielen, Transportieren","rund, leicht, bunt, beweglich","Spielplatz, Sportplatz",8
2,Besen,sym_02.png,4,"Putzen, Sammeln","lang, leicht, rau, biegsam","Garten, Schule",8
3,Bett,sym_03.png,4,"Schlafen, Aufbewahren","groß, weich, stabil, fest","Schlafzimmer, Krankenhaus",8
4,Brille,sym_04.png,4,"Lesen, Beobachten","klein, leicht, durchsichtig, zerbrechlich","Geschäft, Krankenhaus",8
5,Buch,sym_05.png,4,"Lesen, Aufbewahren","eckig, mittelgroß, matt, blickdicht","Schule, Büro",8
6,Decke,sym_06.png,4,"Schlafen, Schützen","weich, groß, flauschig, stabil","Schlafzimmer, Krankenhaus",8
7,Gabel,sym_07.png,4,"Essen, Kochen","klein, hart, spitz, glänzend","Küche, Campingplatz",8
8,Handtuch,sym_08.png,4,"Waschen, Aufbewahren","weich, groß, leicht, flauschig","Badezimmer, Schlafzimmer",8
9,Kissen,sym_09.png,4,"Schlafen, Dekorieren","weich, groß, leicht, flauschig","Schlafzimmer, Park",8
10,Lampe,sym_10.png,4,"Leuchten, Dekorieren","hell, glänzend, hart, zerbrechlich","Büro, Schlafzimmer",8
11,Löffel,sym_11.png,4,"Essen, Trinken","klein, hart, glatt, glänzend","Küche, Campingplatz",8
12,Messer,sym_12.png,4,"Schneiden, Kochen","hart, spitz, gefährlich, glänzend","Küche, Campingplatz",8
13,Pfanne,sym_13.png,4,"Kochen, Aufbewahren","rund, hart, groß, schwer","Küche, Campingplatz",8
14,Regenschirm,sym_14.png,4,"Tragen, Schützen","lang, leicht, blickdicht, stabil","Straße, Park",8
15,Schere,sym_15.png,4,"Schneiden, Dekorieren","hart, spitz, beweglich, glänzend","Schule, Büro",8
16,Schüssel,sym_16.png,4,"Essen, Kochen","rund, hart, glatt, mittelgroß","Küche, Geschäft",8
17,Seife,sym_17.png,4,"Waschen, Putzen","klein, glatt, duftend, rutschig","Badezimmer, Krankenhaus",8
18,Stift,sym_18.png,4,"Schreiben, Dekorieren","klein, leicht, dünn, spitz","Schule, Büro",8
19,Tasse,sym_19.png,4,"Trinken, Aufbewahren","rund, hart, glatt, blickdicht","Küche, Büro",8
20,Teller,sym_20.png,4,"Essen, Aufbewahren","rund, hart, glatt, blickdicht","Küche, Geschäft",8
21,Topf,sym_21.png,4,"Kochen, Aufbewahren","groß, hart, rund, schwer","Küche, Campingplatz",8
22,Trinkflasche,sym_22.png,4,"Trinken, Transportieren","leicht, glatt, fest, blickdicht","Sportplatz, Wald",8
23,Zahnbürste,sym_23.png,4,"Waschen, Putzen","klein, leicht, fest, spitz","Badezimmer, Krankenhaus",8
24,Bauklötze,sym_24.png,3,"Spielen, Bauen","bunt, eckig, hart, stabil","Schule, Spielplatz",8
25,Computer,sym_25.png,3,"Schreiben, Kommunizieren","eckig, hart, blickdicht, dunkel","Büro, Schule",8
